"Name","Product ID","Supplier","Country","City","Retail Price","Currency","Commission %","RMS"
"Nui Than Tai Hot Springs Park Tour","dab58382-6a79-4938-8c8c-997de166961e","","","Da Nang","46.26","SGD","","BEMYGUEST"
"COMBO: Taipei Zoo + Maokong Gondola","a82a23e7-d032-4774-8c3e-bcef3dccf27a","","","Taipei","16.83","SGD","","BEMYGUEST"
"National Gallery Singapore Ticket","8e500e54-f41e-421a-a734-b5260019740e","","","Singapore","13.11","SGD","","BEMYGUEST"
"LEGOLAND California Ticket","8797a665-f988-4196-9f1c-7fd50aeb8573","","","San Diego","123.41","SGD","","BEMYGUEST"
"City Sightseeing Edinburgh Hop-on Hop-off Bus Tour","7b6b1ffd-f9d7-407d-ac2a-1bb4c57b4b47","","","Edinburgh","21.97","SGD","","BEMYGUEST"
"Gaudi Houses: Casa Vicens, Casa Batllo, Casa Mila Guided Tour in English, Mandarin, Korean","3cb7da1e-8d33-4e84-b45e-e093a3bd166b","","","Barcelona","128.17","SGD","","BEMYGUEST"
"COMBO: Louvre Abu Dhabi Ticket + Big Bus Abu Dhabi Hop-on Hop-off Bus Tour","3c13314d-f416-45bc-94fe-2a21776b59b8","","","Abu Dhabi","86.7","SGD","","BEMYGUEST"
"Illuseum Berlin: Skip The Line","2c640b8e-af6a-4cd2-a2e3-b604622fc775","","","Berlin","22.55","SGD","","BEMYGUEST"
"ZSL Whipsnade Zoo","19c825d7-b488-4af1-85c1-6365620e720b","","","London","50.33","SGD","","BEMYGUEST"
"Phillip Island Nature Parks - Koala Conservation Reserve Ticket","0fa8eb56-3dd7-4a8a-86f7-5520d6ec5606","","","Melbourne","13.14","SGD","","BEMYGUEST"
"Enoshima Aquarium","0b488306-c851-45ac-90ae-ed7a1626aac0","","","Tokyo","23.36","SGD","","BEMYGUEST"
"Go City Miami All-Inclusive Pass: Save up to 50% on Attractions","f3be23ed-7546-49b7-b534-2227ba3be706","","","Miami","142.72","SGD","","BEMYGUEST"
"Grand Canyon Water Park","e70be8c2-cdf7-4fbd-8703-2722f7e114c6","","","Chiang Mai","0","SGD","","BEMYGUEST"
"La Brea Tar Pits Museum","e193571a-9946-4588-9969-b6644efc9847","","","Los Angeles","16.87","SGD","","BEMYGUEST"
"Taoyuan Airport MRT Ticket","de2b2306-e408-4dd3-892f-168cf10b91b8","","","Taipei","6.4","SGD","","BEMYGUEST"
"Richmond Village and Bonorong Wildlife Sanctuary Tour","de272577-1b54-4e19-a91b-52f9e2eb504f","","","Hobart","0","SGD","","BEMYGUEST"
"Original Beer and Prosecco London Bike Tour by Wee Toast Tours","dcb57d12-42c3-4b00-9bf8-a92c8418e2e5","","","London","47.83","SGD","","BEMYGUEST"
"3-Park Explorer Pass: Singapore Zoo + River Wonders + Bird Paradise","daa1685b-b003-4fb3-b4e4-b49f096af2bc","","","Singapore","102.41","SGD","","BEMYGUEST"
"Murray River Highlights Tour","d55e1b7e-f191-4d95-a888-ea025bf827d7","","","Adelaide","156.4","SGD","","BEMYGUEST"
"Bode Museum: Skip The Line","cf8a0340-cea1-4940-b81e-c668fb5f9223","","","Berlin","21.26","SGD","","BEMYGUEST"
"Ultimate Adelaide City and Hahndorf Tour","cc5f2780-b893-4095-a3bf-f3cc77ecd22a","","","Adelaide","131.25","SGD","","BEMYGUEST"
"My Son Sanctuary and Hoi An Ancient Town Tour from Da Nang","c5ec7f81-e4d9-5978-961b-ff119d6aba78","","","Da Nang","46.26","SGD","","BEMYGUEST"
"Stonehenge and Roman Baths Tour","bc85c5bb-f3a6-5322-9d8c-1846f6457d2f","","","London","189.18","SGD","","BEMYGUEST"
"Sydney Harbour Sunset Dinner Cruise aboard Captain Cook Cruises","a4dd3352-d1dc-4999-acfb-c9e4e00723e1","","","Sydney","98.24","SGD","","BEMYGUEST"
"Mount Cook Big Sky Stargazing","a01f29d8-1372-4f9c-80e7-a0032e692cce","","","Mount Cook","0","SGD","","BEMYGUEST"
