Rank,Cluster Name,Intent,Focus Keyword,Identifiers,Keywords,Volume,Total Volume,Separate Page Needed,Supply Status
1,Sky Terrace 428 (Tickets & Hours),Transactional,sky terrace 428,sky terrace 428,sky terrace 428,18100,47080,,
,,,,sky terrace,sky terrace 428 tickets,480,,,
,,,,sky 428,sky terrace 428 opening hours,110,,,
,,,,terrace 428,peak tram and sky terrace,720,,,
,,,,sky terrace 428 tickets,peak tram sky terrace,720,,,
,,,,sky terrace 428 opening hours,sky terrace the peak hong kong,1900,,,
,,,,,peak sky terrace,70,,,
,,,,,sky 428,18100,,,
,,,,,terrace 428,70,,,
,,,,,the peak sky terrace,140,,,
,,,,,the peak tower sky terrace 428,6600,,,
,,,,,hong kong peak tram and sky terrace 428,70,,,
,,,,,,,,,
2,"Tickets, Prices, Fares & Passes",Transactional,sandia tram tickets,tickets,peak tram sky pass,70,27000,,
,,,,ticket,peak tram tickets,6600,,,
,,,,ticket price,victoria peak tram tickets,2400,,,
,,,,price,peak tram price,880,,,
,,,,cost,the peak tram ticket,1000,,,
,,,,fare,victoria peak tickets,880,,,
,,,,admission,peak tram tickets online,170,,,
,,,,entry,peak tram cost,880,,,
,,,,pass,peak tram fare,880,,,
,,,,sky pass,peak tram fare octopus,110,,,
,,,,tickets online,peak tram ticket price,320,,,
,,,,book,sandia tram discount tickets,110,,,
,,,,booking,sandia tram tickets,12100,,,
,,,,reserve,the peak tram fare,70,,,
,,,,,the peak tram ticket price,70,,,
,,,,,victoria peak price,110,,,
,,,,,victoria peak ticket price,70,,,
,,,,,victoria peak tram price,140,,,
,,,,,klook peak tram tickets,140,,,
,,,,,,,,,
3,"Opening Hours, Timings & Timetable",Planning,peak tram opening hours,opening hours,peak tram opening hours,1000,5420,,
,,,,operating hours,victoria peak opening hours,390,,,
,,,,hours,peak tram schedule,590,,,
,,,,open,peak tram hours,590,,,
,,,,time,peak tram open,70,,,
,,,,timings,peak tram operating hours,1000,,,
,,,,schedule,peak tram time,140,,,
,,,,timetable,peak tram timetable,170,,,
,,,,,peak tram timings,590,,,
,,,,,sandia tram hours,260,,,
,,,,,the peak tram hours,110,,,
,,,,,the peak tram opening hours,260,,,
,,,,,the peak tram schedule,110,,,
,,,,,victoria peak hours,140,,,
,,,,,,,,,
4,"Stations, Terminus & Entrance (Central/Lower)",Planning,victoria peak location,station,peak tram lower terminus,880,204560,,
,,,,terminus,peak tram station,880,,,
,,,,lower terminus,central to peak tram,260,,,
,,,,central,peak tram entrance,50,,,
,,,,entrance,peak tram location,260,,,
,,,,location,peak tram terminus,880,,,
,,,,peak tram central,the peak tram central,70,,,
,,,,,the peak tram central hong kong,70,,,
,,,,,the peak tram station,210,,,
,,,,,victoria peak location,201000,,,
,,,,,,,,,
5,Directions & Getting There (MTR/Bus/Routes),Planning,victoria peak bus,how to get there,victoria peak how to get there,170,800,,
,,,,getting there,causeway bay to the peak,50,,,
,,,,directions,peak tram route,50,,,
,,,,route,victoria peak bus,480,,,
,,,,causeway bay to,victoria peak mtr,50,,,
,,,,central to,,,,,
,,,,bus,,,,,
,,,,mtr,,,,,
,,,,,,,,,
6,Ride Duration & Experience,Planning,peak tram ride,duration,peak tram duration,70,160,,
,,,,ride,peak tram ride,90,,,
,,,,ride time,,,,,
,,,,tram ride,,,,,
,,,,journey time,,,,,
,,,,,,,,,
8,Hiking & Trails (Lugard Road),Planning,victoria peak trail,hike,hike the peak hong kong,210,970,,
,,,,hiking,hiking mount bogong,50,,,
,,,,trail,lugard road the peak,90,,,
,,,,hiking trail,the peak hong kong hike,210,,,
,,,,lugard road,victoria peak hiking trail,90,,,
,,,,,victoria peak trail,320,,,
,,,,,,,,,
7,Night View & Viewpoints,Informational,victoria peak view,night view,victoria peak night view,320,2250,,
,,,,at night,the peak hong kong night view,50,,,
,,,,night,victoria peak at night,880,,,
,,,,view,victoria peak view,1000,,,
,,,,viewpoints,,,,,
,,,,,,,,,
9,The Peak Tower,Informational,the peak tower,peak tower,the peak tower,33100,67360,,
,,,,the peak tower,the peak tower hong kong,33100,,,
,,,,peak tower hong kong,victoria peak tower,140,,,
,,,,the peak tower sky terrace 428,the peak towers condominium,880,,,
,,,,,the peak cable car,70,,,
,,,,,the peak hong,70,,,
,,,,,,,,,
10,Restaurants at The Peak,Informational,bubba gump the peak,restaurant,bubba gump the peak,1300,1780,,
,,,,restaurants,victoria peak restaurant,480,,,
,,,,bubba gump,,,,,
,,,,,,,,,
11,Victoria Peak / The Peak (General),Informational,victoria peak,victoria peak,victoria peak,201000,881630,,
,,,,the peak hong kong,the peak hong kong,33100,,,
,,,,hongkong the peak,victoria peak tram,9900,,,
,,,,the peak hongkong,the peak hongkong,33100,,,
,,,,victoria peek,victoria peak cable car,480,,,
,,,,victoria peak location,hongkong the peak,201000,,,
,,,,victoria peak view,hotels near the peak hong kong,140,,,
,,,,the peak of hong kong,hotels near victoria peak,140,,,
,,,,,the peak hong kong island,140,,,
,,,,,the peak hong kong tram,90,,,
,,,,,the peak of hong kong,140,,,
,,,,,victoria peak mountain,50,,,
,,,,,victoria peak the peak,201000,,,
,,,,,victoria peak the peak hong kong,201000,,,
,,,,,victoria peak train,90,,,
,,,,,victoria peek,260,,,
,,,,,,,,,
12,Peak Tram & Sky Terrace 428 (Hong Kong) — Head Terms,Informational,the peak tram,peak tram,peak tram,33100,286940,,
,,,,the peak tram,the peak tram,165000,,,
,,,,hk the peak tram,the peak tram hong kong,18100,,,
,,,,the peak tram hk,klook peak tram,320,,,
,,,,the peak tram hong kong,pikes peak tram,720,,,
,,,,victoria peak tram,hk the peak tram,18100,,,
,,,,peak tram sky terrace,peak tram octopus,70,,,
,,,,peak tram and sky terrace,peak tramp,70,,,
,,,,hong kong peak tram and sky terrace 428,peak tramways company limited,170,,,
,,,,,san jacinto peak tram,90,,,
,,,,,the peak tram hk,18100,,,
,,,,,tram the peak,33100,,,
,,,,,,,,,
